ELECTION_DATE,ELECTION_NAME,COUNTY_ID,COUNTY_NAME,BALLOT_MEASURE_ID,BALLOT_MEASURE_NAME,BALLOT_MEASURE_TITLE,YES_COUNT,NO_COUNT
11/08/2016,2016 Presidential General,9,El Dorado,58,Proposition 58,English Proficiency. Multilingual Education.,"57,258","34,374"
11/08/2016,2016 Presidential General,9,El Dorado,59,Proposition 59,Corporate Political Spending Advisory Question,"40,344","46,289"
11/08/2016,2016 Presidential General,9,El Dorado,60,Proposition 60,Adult Film Condom Requirements,"32,096","57,022"
11/08/2016,2016 Presidential General,9,El Dorado,61,Proposition 61,State Prescription Drug Purchase Standards,"35,615","54,707"
11/08/2016,2016 Presidential General,9,El Dorado,62,Proposition 62,Repeal of Death Penalty,"30,603","61,166"
11/08/2016,2016 Presidential General,9,El Dorado,63,Proposition 63,Firearms and Ammunition Sales,"36,896","56,353"
11/08/2016,2016 Presidential General,9,El Dorado,64,Proposition 64,Marijuana Legalization,"47,047","47,170"
11/08/2016,2016 Presidential General,9,El Dorado,65,Proposition 65,Carryout Bag Charges,"33,928","57,713"
11/08/2016,2016 Presidential General,9,El Dorado,66,Proposition 66,Death Penalty Procedure Time Limits,"51,605","36,373"
11/08/2016,2016 Presidential General,9,El Dorado,67,Proposition 67,Ban on Single-use Plastic Bags,"39,077","53,128"
11/08/2016,2016 Presidential General,10,Fresno,51,Proposition 51,K-12 and Community College Facilities,"142,268","133,435"
11/08/2016,2016 Presidential General,10,Fresno,52,Proposition 52,Medi-Cal Hospital Fee Program,"174,094","97,202"
11/08/2016,2016 Presidential General,10,Fresno,53,Proposition 53,Voter Approval of Revenue Bonds,"135,740","131,031"
11/08/2016,2016 Presidential General,10,Fresno,54,Proposition 54,Legislative Procedure Requirements,"168,984","97,760"
11/08/2016,2016 Presidential General,10,Fresno,55,Proposition 55,Tax Extension for Education and Healthcare,"162,030","112,808"
11/08/2016,2016 Presidential General,10,Fresno,56,Proposition 56,Cigarette Tax,"161,584","120,662"
11/08/2016,2016 Presidential General,10,Fresno,57,Proposition 57,Criminal Sentences & Juvenile Crime Proceedings,"131,105","144,383"
11/08/2016,2016 Presidential General,10,Fresno,58,Proposition 58,English Proficiency. Multilingual Education.,"191,560","83,727"
11/08/2016,2016 Presidential General,10,Fresno,59,Proposition 59,Corporate Political Spending Advisory Question,"116,026","142,781"
11/08/2016,2016 Presidential General,10,Fresno,60,Proposition 60,Adult Film Condom Requirements,"122,258","145,454"
11/08/2016,2016 Presidential General,10,Fresno,61,Proposition 61,State Prescription Drug Purchase Standards,"98,584","169,946"
11/08/2016,2016 Presidential General,10,Fresno,62,Proposition 62,Repeal of Death Penalty,"101,837","171,290"
11/08/2016,2016 Presidential General,10,Fresno,63,Proposition 63,Firearms and Ammunition Sales,"135,100","141,909"
11/08/2016,2016 Presidential General,10,Fresno,64,Proposition 64,Marijuana Legalization,"132,764","148,923"
11/08/2016,2016 Presidential General,10,Fresno,65,Proposition 65,Carryout Bag Charges,"103,300","168,273"
11/08/2016,2016 Presidential General,10,Fresno,66,Proposition 66,Death Penalty Procedure Time Limits,"130,819","131,205"
11/08/2016,2016 Presidential General,10,Fresno,67,Proposition 67,Ban on Single-use Plastic Bags,"111,227","164,117"
11/08/2016,2016 Presidential General,11,Glenn,51,Proposition 51,K-12 and Community College Facilities,"4,006","5,315"
